SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,region
11110,Jongno-gu,종로구,953858.7683,1955185.184,서울특별시/종로구
11140,Jung-gu,중구,955484.1953,1951318.204,서울특별시/중구
11170,Yongsan-gu,용산구,954048.0237,1948135.318,서울특별시/용산구
11200,Seongdong-gu,성동구,959461.6393,1950286.667,서울특별시/성동구
11215,Gwangjin-gu,광진구,963406.6333,1949790.227,서울특별시/광진구
11230,Dongdaemun-gu,동대문구,960695.9358,1953711.983,서울특별시/동대문구
11260,Jungnang-gu,중랑구,964061.83,1955456.431,서울특별시/중랑구
11290,Seongbuk-gu,성북구,957418.8665,1956362.667,서울특별시/성북구
11305,Gangbuk-gu,강북구,956876.6268,1960556.239,서울특별시/강북구
11320,Dobong-gu,도봉구,958759.3215,1963390.07,서울특별시/도봉구
11350,Nowon-gu,노원구,962513.7273,1961531.443,서울특별시/노원구
11380,Eunpyeong-gu,은평구,949434.9178,1957906.406,서울특별시/은평구
11410,Seodaemun-gu,서대문구,950470.0187,1953303.947,서울특별시/서대문구
11440,Mapo-gu,마포구,947738.1024,1951271.262,서울특별시/마포구
11470,Yangcheon-gu,양천구,943049.1483,1947471.644,서울특별시/양천구
11500,Gangseo-gu,강서구,940191.3871,1951535.447,서울특별시/강서구
11530,Guro-gu,구로구,943098.8027,1944100.206,서울특별시/구로구
11545,Geumcheon-gu,금천구,947010.3653,1940320.122,서울특별시/금천구
11560,Yeongdeungpo-gu,영등포구,947880.1097,1947164.668,서울특별시/영등포구
11590,Dongjak-gu,동작구,951529.6281,1944542.919,서울특별시/동작구
11620,Gwanak-gu,관악구,950951.7866,1941051.326,서울특별시/관악구
11650,Seocho-gu,서초구,958549.6555,1941666.822,서울특별시/서초구
11680,Gangnam-gu,강남구,961370.4031,1944243.664,서울특별시/강남구
11710,Songpa-gu,송파구,965998.3817,1945219.235,서울특별시/송파구
11740,Gangdong-gu,강동구,968820.3031,1950181.966,서울특별시/강동구
26110,Jung-gu,중구,1139581.674,1679998.221,부산광역시/중구
26140,Seo-gu,서구,1138070.459,1679695.559,부산광역시/서구
26170,Dong-gu,동구,1140729.918,1682646.146,부산광역시/동구
26200,Yeongdo-gu,영도구,1142662.02,1677069.848,부산광역시/영도구
26230,Busanjin-gu,부산진구,1140528.92,1686643.253,부산광역시/부산진구
26260,Dongnae-gu,동래구,1143750.137,1691238.905,부산광역시/동래구
26290,Nam-gu,남구,1145266.966,1682313.999,부산광역시/남구
26320,Buk-gu,북구,1138635.216,1693714.594,부산광역시/북구
26350,Haeundae-gu,해운대구,1150543.164,1689978.431,부산광역시/해운대구
26380,Saha-gu,사하구,1134346.873,1678077.873,부산광역시/사하구
26410,Geumjeong-gu,금정구,1144776.984,1697099.925,부산광역시/금정구
26440,Gangseo-gu,강서구,1126848.885,1683457.698,부산광역시/강서구
26470,Yeonje-gu,연제구,1144130.379,1688605.146,부산광역시/연제구
26500,Suyeong-gu,수영구,1146742.278,1686305.047,부산광역시/수영구
26530,Sasang-gu,사상구,1135397.851,1685764.899,부산광역시/사상구
26710,Gijang-gun,기장군,1154657.815,1701603.961,부산광역시/기장군
27110,Jung-gu,중구,1098731.799,1763882.512,대구광역시/중구
27140,Dong-gu,동구,1106951.502,1771509.872,대구광역시/동구
27170,Seo-gu,서구,1094757.496,1764778.14,대구광역시/서구
27200,Nam-gu,남구,1098023.18,1760396.001,대구광역시/남구
